reaction identifier,formic acid molarity in alpha vial (M)
2019-06-19T14_53_44.342960+00_00_LBL_G1,11.2379
2019-06-19T14_53_44.342960+00_00_LBL_E3,16.8038
2019-06-19T14_53_44.342960+00_00_LBL_A9,10.7608
2019-06-19T14_53_44.342960+00_00_LBL_A11,15.6376
2019-06-19T15_03_07.301134+00_00_LBL_E1,21.6276
2019-06-19T15_03_07.301134+00_00_LBL_A3,22.4228
2019-06-19T15_03_07.301134+00_00_LBL_E3,12.0860
2019-06-19T15_03_07.301134+00_00_LBL_C9,13.7293
2019-06-19T15_03_07.301134+00_00_LBL_E9,12.6161
2019-06-19T15_03_07.301134+00_00_LBL_G9,11.2379
2019-10-30T19_19_05.368929+00_00_LBL_G1,13.5703
2019-10-30T19_19_05.368929+00_00_LBL_C3,11.4043
2019-10-30T19_19_05.368929+00_00_LBL_G5,12.7221
2019-11-01T13_24_43.222072+00_00_LBL_E7,11.9800
2019-11-01T13_24_43.222072+00_00_LBL_G7,10.9198
2019-11-11T16_11_56.387734+00_00_LBL_A9,13.3582
2019-11-11T16_17_45.714515+00_00_LBL_A1,16.8568
2019-11-11T16_17_45.714515+00_00_LBL_E9,17.0689
2019-12-03T14_26_34.696140+00_00_LBL_E1,11.6155
2019-12-03T14_26_34.696140+00_00_LBL_C3,11.4499
2019-12-03T14_26_34.696140+00_00_LBL_E5,12.0860
2019-12-03T14_26_34.696140+00_00_LBL_C11,13.1462
2019-12-03T16_04_22.236974+00_00_LBL_C1,10.1121
2019-12-03T16_04_22.236974+00_00_LBL_C3,12.0860
2019-12-03T16_04_22.236974+00_00_LBL_A5,12.7221
2019-12-03T16_04_22.236974+00_00_LBL_A9,13.8377
2019-12-03T16_04_22.236974+00_00_LBL_A11,10.4958
2019-12-03T16_04_22.236974+00_00_LBL_G11,12.2981
2019-12-19T20_56_02.291086+00_00_LBL_E1,11.0259
2019-12-19T20_56_02.291086+00_00_LBL_G1,12.5101
2019-12-19T20_56_02.291086+00_00_LBL_C3,13.5703
2019-12-19T20_56_02.291086+00_00_LBL_A5,11.7680
2019-12-19T20_56_02.291086+00_00_LBL_G7,10.8138
2019-12-19T20_56_02.291086+00_00_LBL_C9,11.6620
2019-12-19T20_56_02.291086+00_00_LBL_G9,10.3897
2020-01-17T15_31_16.708198+00_00_LBL_G1,12.0154
