identifier,fingerprint,outcome,organic___0___chemname,organic___0___molarity,inorganic___0___chemname,inorganic___0___molarity,solvent___0___chemname,solvent___0___molarity,acid___0___chemname,acid___0___molarity,solvent___1___chemname,solvent___1___molarity
2020-02-10T13_54_15.657454+00_00_HC_A1,1%1%1%0,4,Morpholinium Iodide,0.843470016207273,Lead Diiodide,0.785834711626779,Dimethylformamide,10.919330837170218,,,,
2020-02-10T13_54_15.657454+00_00_HC_C1,1%1%1%1,4,Morpholinium Iodide,0.7667909238247936,Lead Diiodide,0.7143951923879809,Dimethylformamide,9.926664397427471,Formic Acid,2.409495783382379,,
2020-02-10T14_03_32.065767+00_00_HC_A1,1%1%1%0,4,"1,4-Benzene diammonium iodide",1.3129288743393874,Lead Diiodide,0.657843305388747,Dimethyl sulfoxide,10.511573882656812,,,,
2020-02-10T14_03_32.065767+00_00_HC_C1,1%1%1%1,4,"1,4-Benzene diammonium iodide",1.1935717039448976,Lead Diiodide,0.5980393685352245,Dimethyl sulfoxide,9.555976256960738,Formic Acid,2.409495783382379,,
2020-06-22T14_21_59.590476+00_00_HC_A1,1%1%1%1,4,Cyclohexylmethylammonium iodide,0.699048123576375,Lead Diiodide,0.44370315737522303,Gamma-Butyrolactone,9.819715130837409,Formic Acid,2.6504453617206174,,
2020-06-22T14_21_59.590476+00_00_HC_C1,1%1%1%1,1,Cyclohexylmethylammonium iodide,0.7228298520518336,Lead Diiodide,0.49811637809042253,Dimethylformamide,9.645597497344392,Formic Acid,2.6504453617206174,,
2020-06-22T14_21_59.590476+00_00_HC_E1,1%1%1%1,1,Cyclohexylmethylammonium iodide,0.6639768166927286,Lead Diiodide,0.461534649404481,Dimethyl sulfoxide,10.68726110699516,Formic Acid,2.6504453617206174,,
2020-06-22T14_21_59.590476+00_00_HC_G1,1%1%2%1,1,Cyclohexylmethylammonium iodide,0.6900154720405501,Lead Diiodide,0.5056569318199455,Dimethyl sulfoxide,5.2910198498343215,Formic Acid,2.6504453617206174,Dimethylformamide,4.853098962056614
2020-06-22T14_21_59.590476+00_00_HC_A3,1%1%2%1,1,Cyclohexylmethylammonium iodide,0.6898168352883156,Lead Diiodide,0.447363298136469,Gamma-Butyrolactone,4.917695688843857,Formic Acid,2.6504453617206174,Dimethylformamide,4.881473693433943
2020-06-22T17_03_40.423248+00_00_HC_A1,1%1%1%1,4,2-Pyrrolidin-1-ium-1-ylethylammonium iodide,0.64776097497217,Lead Diiodide,0.545907337708862,Dimethylformamide,9.60592314538131,Formic Acid,2.6504453617206174,,
2020-06-22T17_03_40.423248+00_00_HC_C1,1%1%1%1,1,2-Pyrrolidin-1-ium-1-ylethylammonium iodide,0.6335492631535451,Lead Diiodide,0.497116530225109,Dimethyl sulfoxide,10.559740045522588,Formic Acid,2.6504453617206174,,
