chemsys,"molarity__1,3-Diaminopropane Dihydroiodide (M)","prepare__1,3-Diaminopropane Dihydroiodide",molarity__Dimethylformamide (M),prepare__Dimethylformamide,molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.102,2020-06-30T14_02_45.381323+00_00_LBL_A1
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.098,2020-06-30T14_02_45.381323+00_00_LBL_C1
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.012,2020-06-30T14_02_45.381323+00_00_LBL_E1
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.09899999999999999,2020-06-30T14_02_45.381323+00_00_LBL_G1
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.006,2020-06-30T14_02_45.381323+00_00_LBL_A3
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.039999999999999994,2020-06-30T14_02_45.381323+00_00_LBL_C3
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.032999999999999995,2020-06-30T14_02_45.381323+00_00_LBL_E3
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.09899999999999999,2020-06-30T14_02_45.381323+00_00_LBL_G3
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.014,2020-06-30T14_02_45.381323+00_00_LBL_A5
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.004,2020-06-30T14_02_45.381323+00_00_LBL_C5
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.003,2020-06-30T14_02_45.381323+00_00_LBL_E5
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.056999999999999995,2020-06-30T14_02_45.381323+00_00_LBL_G5
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.101,2020-06-30T14_02_45.381323+00_00_LBL_A7
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.024999999999999998,2020-06-30T14_02_45.381323+00_00_LBL_C7
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide",2.258649478797741,6.996 gram,4.168160325463308,3.03 milliliter,4.5442755632521505,3.03 milliliter,9.38756226099199,2,0.045,2020-06-30T14_02_45.381323+00_00_LBL_E7
