chemsys,"molarity__1,3-Diaminopropane Dihydroiodide (M)","prepare__1,3-Diaminopropane Dihydroiodide",molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.002,2020-01-25T22_09_56.031008+00_00_LBL_A1
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.016,2020-01-25T22_09_56.031008+00_00_LBL_C1
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.036000000000000004,2020-01-25T22_09_56.031008+00_00_LBL_E1
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.015,2020-01-25T22_09_56.031008+00_00_LBL_G1
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.041,2020-01-25T22_09_56.031008+00_00_LBL_A3
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.06599999999999999,2020-01-25T22_09_56.031008+00_00_LBL_C3
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.009000000000000001,2020-01-25T22_09_56.031008+00_00_LBL_E3
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.061,2020-01-25T22_09_56.031008+00_00_LBL_G3
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.03,2020-01-25T22_09_56.031008+00_00_LBL_A5
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.018999999999999996,2020-01-25T22_09_56.031008+00_00_LBL_C5
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.017,2020-01-25T22_09_56.031008+00_00_LBL_E5
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.056,2020-01-25T22_09_56.031008+00_00_LBL_G5
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.022,2020-01-25T22_09_56.031008+00_00_LBL_A7
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.043,2020-01-25T22_09_56.031008+00_00_LBL_C7
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.028,2020-01-25T22_09_56.031008+00_00_LBL_E7
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.03,2020-01-25T22_09_56.031008+00_00_LBL_G7
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.054,2020-01-25T22_09_56.031008+00_00_LBL_A9
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.028,2020-01-25T22_09_56.031008+00_00_LBL_C9
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.024999999999999998,2020-01-25T22_09_56.031008+00_00_LBL_E9
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.017,2020-01-25T22_09_56.031008+00_00_LBL_G9
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.001,2020-01-25T22_09_56.031008+00_00_LBL_A11
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.034,2020-01-25T22_09_56.031008+00_00_LBL_C11
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.009000000000000001,2020-01-25T22_09_56.031008+00_00_LBL_E11
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide",2.5287341681493354,4.15 gram,7.7889530282907815,3.0 milliliter,4.973896995871463,2,0.003,2020-01-25T22_09_56.031008+00_00_LBL_G11
