chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,"molarity__1,3-Diaminopropane Dihydroiodide (M)","prepare__1,3-Diaminopropane Dihydroiodide",molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.09,2020-01-25T22_09_56.031008+00_00_LBL_A1
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.002,2020-01-25T22_09_56.031008+00_00_LBL_C1
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.041,2020-01-25T22_09_56.031008+00_00_LBL_E1
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.078,2020-01-25T22_09_56.031008+00_00_LBL_G1
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.03799999999999999,2020-01-25T22_09_56.031008+00_00_LBL_A3
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.004,2020-01-25T22_09_56.031008+00_00_LBL_C3
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.031,2020-01-25T22_09_56.031008+00_00_LBL_E3
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.003,2020-01-25T22_09_56.031008+00_00_LBL_G3
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.001,2020-01-25T22_09_56.031008+00_00_LBL_A5
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.043,2020-01-25T22_09_56.031008+00_00_LBL_C5
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.052,2020-01-25T22_09_56.031008+00_00_LBL_E5
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.001,2020-01-25T22_09_56.031008+00_00_LBL_G5
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.009000000000000001,2020-01-25T22_09_56.031008+00_00_LBL_A7
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.006,2020-01-25T22_09_56.031008+00_00_LBL_C7
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.053,2020-01-25T22_09_56.031008+00_00_LBL_E7
"1,3-Diaminopropane_Dihydroiodide__Dimethylformamide__Lead_Diiodide",1.6313404387894523,3.94 gram,0.7289221349218195,1.26 gram,9.859918717394171,4.0 milliliter,5.238914055826786,1,0.043,2020-01-25T22_09_56.031008+00_00_LBL_G7
