chemsys,"molarity__1,4-Benzene diammonium iodide (M)","prepare__1,4-Benzene diammonium iodide",molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.046,2019-11-01T13_24_43.222072+00_00_LBL_A1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.176,2019-11-01T13_24_43.222072+00_00_LBL_C1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.016,2019-11-01T13_24_43.222072+00_00_LBL_E1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.019999999999999997,2019-11-01T13_24_43.222072+00_00_LBL_G1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.09499999999999999,2019-11-01T13_24_43.222072+00_00_LBL_A3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.03,2019-11-01T13_24_43.222072+00_00_LBL_C3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.179,2019-11-01T13_24_43.222072+00_00_LBL_E3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.087,2019-11-01T13_24_43.222072+00_00_LBL_G3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.097,2019-11-01T13_24_43.222072+00_00_LBL_A5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.003,2019-11-01T13_24_43.222072+00_00_LBL_C5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.12,2019-11-01T13_24_43.222072+00_00_LBL_E5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.101,2019-11-01T13_24_43.222072+00_00_LBL_G5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.07999999999999999,2019-11-01T13_24_43.222072+00_00_LBL_A7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.207,2019-11-01T13_24_43.222072+00_00_LBL_C7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.053,2019-11-01T13_24_43.222072+00_00_LBL_E7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.12,2019-11-01T13_24_43.222072+00_00_LBL_G7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.16099999999999998,2019-11-01T13_24_43.222072+00_00_LBL_A9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.014,2019-11-01T13_24_43.222072+00_00_LBL_C9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.078,2019-11-01T13_24_43.222072+00_00_LBL_E9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.078,2019-11-01T13_24_43.222072+00_00_LBL_G9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.116,2019-11-01T13_24_43.222072+00_00_LBL_A11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.014,2019-11-01T13_24_43.222072+00_00_LBL_C11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.058,2019-11-01T13_24_43.222072+00_00_LBL_E11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.1288601285270405,1.661 gram,11.60770239044873,3.333 milliliter,4.042629211260589,2,0.112,2019-11-01T13_24_43.222072+00_00_LBL_G11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.046,2021-05-19T16_23_27.948542+00_00_HC_A1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.176,2021-05-19T16_23_27.948542+00_00_HC_C1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.016,2021-05-19T16_23_27.948542+00_00_HC_E1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.019999999999999997,2021-05-19T16_23_27.948542+00_00_HC_G1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.09499999999999999,2021-05-19T16_23_27.948542+00_00_HC_A3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.03,2021-05-19T16_23_27.948542+00_00_HC_C3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.179,2021-05-19T16_23_27.948542+00_00_HC_E3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.087,2021-05-19T16_23_27.948542+00_00_HC_G3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.097,2021-05-19T16_23_27.948542+00_00_HC_A5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.003,2021-05-19T16_23_27.948542+00_00_HC_C5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.12,2021-05-19T16_23_27.948542+00_00_HC_E5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.101,2021-05-19T16_23_27.948542+00_00_HC_G5
