chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__2-Pyrrolidin-1-ium-1-ylethylammonium iodide (M),prepare__2-Pyrrolidin-1-ium-1-ylethylammonium iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.019999999999999997,2019-11-11T16_17_45.714515+00_00_LBL_A1
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.017,2019-11-11T16_17_45.714515+00_00_LBL_C1
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.031,2019-11-11T16_17_45.714515+00_00_LBL_E1
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.008,2019-11-11T16_17_45.714515+00_00_LBL_G1
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.026,2019-11-11T16_17_45.714515+00_00_LBL_A3
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.011,2019-11-11T16_17_45.714515+00_00_LBL_C3
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.012,2019-11-11T16_17_45.714515+00_00_LBL_E3
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.045,2019-11-11T16_17_45.714515+00_00_LBL_G3
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.028,2019-11-11T16_17_45.714515+00_00_LBL_A5
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.041,2019-11-11T16_17_45.714515+00_00_LBL_C5
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.08499999999999999,2019-11-11T16_17_45.714515+00_00_LBL_E5
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.06599999999999999,2019-11-11T16_17_45.714515+00_00_LBL_G5
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.003,2019-11-11T16_17_45.714515+00_00_LBL_A7
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.19899999999999998,2019-11-11T16_17_45.714515+00_00_LBL_C7
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.063,2019-11-11T16_17_45.714515+00_00_LBL_E7
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.037,2019-11-11T16_17_45.714515+00_00_LBL_G7
2-Pyrrolidin-1-ium-1-ylethylammonium_iodide__Dimethylformamide__Lead_Diiodide,0.8672124634484318,2.14 gram,1.055220381050905,2.09 gram,9.650208399171467,4.0 milliliter,5.352761787227401,1,0.08499999999999999,2019-11-11T16_17_45.714515+00_00_LBL_A9
