chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__2-Thiophenemethylammonium iodide (M),prepare__2-Thiophenemethylammonium iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.07999999999999999,2021-03-11T15_34_05.927968+00_00_LBL_A1
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.004,2021-03-11T15_34_05.927968+00_00_LBL_C1
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.03,2021-03-11T15_34_05.927968+00_00_LBL_E1
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.06,2021-03-11T15_34_05.927968+00_00_LBL_G1
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.049,2021-03-11T15_34_05.927968+00_00_LBL_A3
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.003,2021-03-11T15_34_05.927968+00_00_LBL_C3
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.108,2021-03-11T15_34_05.927968+00_00_LBL_E3
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.146,2021-03-11T15_34_05.927968+00_00_LBL_G3
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.044,2021-03-11T15_34_05.927968+00_00_LBL_A5
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.049,2021-03-11T15_34_05.927968+00_00_LBL_C5
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.039999999999999994,2021-03-11T15_34_05.927968+00_00_LBL_E5
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.061,2021-03-11T15_34_05.927968+00_00_LBL_G5
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.034999999999999996,2021-03-11T15_34_05.927968+00_00_LBL_A7
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.06899999999999999,2021-03-11T15_34_05.927968+00_00_LBL_C7
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.001,2021-03-11T15_34_05.927968+00_00_LBL_E7
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.108,2021-03-11T15_34_05.927968+00_00_LBL_G7
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.077,2021-03-11T15_34_05.927968+00_00_LBL_A9
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.06899999999999999,2021-03-11T15_34_05.927968+00_00_LBL_C9
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.064,2021-03-11T15_34_05.927968+00_00_LBL_E9
2-Thiophenemethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.5983768358593013,4.78 gram,0.8696036176487463,1.36 gram,9.953738983308309,5.0 milliliter,6.4869174845362165,1,0.063,2021-03-11T15_34_05.927968+00_00_LBL_G9
