chemsys,molarity__4-Methoxy-Phenylammonium iodide (M),prepare__4-Methoxy-Phenylammonium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.09099999999999998,2021-03-15T16_04_45.792121+00_00_HC_A1
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.007,2021-03-15T16_04_45.792121+00_00_HC_C1
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.06999999999999999,2021-03-15T16_04_45.792121+00_00_HC_E1
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.003,2021-03-15T16_04_45.792121+00_00_HC_G1
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.13999999999999999,2021-03-15T16_04_45.792121+00_00_HC_A3
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.039999999999999994,2021-03-15T16_04_45.792121+00_00_HC_C3
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.007,2021-03-15T16_04_45.792121+00_00_HC_E3
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.045,2021-03-15T16_04_45.792121+00_00_HC_G3
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.09,2021-03-15T16_04_45.792121+00_00_HC_A5
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.08499999999999999,2021-03-15T16_04_45.792121+00_00_HC_C5
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.067,2021-03-15T16_04_45.792121+00_00_HC_E5
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.087,2021-03-15T16_04_45.792121+00_00_HC_G5
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.154,2021-03-15T16_04_45.792121+00_00_HC_A7
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.039999999999999994,2021-03-15T16_04_45.792121+00_00_HC_C7
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.13799999999999998,2021-03-15T16_04_45.792121+00_00_HC_E7
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.073,2021-03-15T16_04_45.792121+00_00_HC_G7
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.09099999999999998,2021-03-15T16_04_45.792121+00_00_HC_A9
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.067,2021-03-15T16_04_45.792121+00_00_HC_C9
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.049,2021-03-15T16_04_45.792121+00_00_HC_E9
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.15999999999999998,2021-03-15T16_04_45.792121+00_00_HC_G9
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.09999999999999999,2021-03-15T16_04_45.792121+00_00_HC_A11
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.109,2021-03-15T16_04_45.792121+00_00_HC_C11
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.001,2021-03-15T16_04_45.792121+00_00_HC_E11
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1101639520888678,4.497 gram,7.274052060699347,3.22 milliliter,5.758969540834388,2,0.045,2021-03-15T16_04_45.792121+00_00_HC_G11
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.032,2021-03-16T15_21_33.108346+00_00_HC_A1
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.024999999999999998,2021-03-16T15_21_33.108346+00_00_HC_C1
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.034999999999999996,2021-03-16T15_21_33.108346+00_00_HC_E1
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.037,2021-03-16T15_21_33.108346+00_00_HC_G1
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.046,2021-03-16T15_21_33.108346+00_00_HC_A3
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.087,2021-03-16T15_21_33.108346+00_00_HC_C3
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.024,2021-03-16T15_21_33.108346+00_00_HC_E3
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.013,2021-03-16T15_21_33.108346+00_00_HC_G3
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.082,2021-03-16T15_21_33.108346+00_00_HC_A5
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.052,2021-03-16T15_21_33.108346+00_00_HC_C5
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.08499999999999999,2021-03-16T15_21_33.108346+00_00_HC_E5
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.031,2021-03-16T15_21_33.108346+00_00_HC_G5
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.079,2021-03-16T15_21_33.108346+00_00_HC_A7
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.05499999999999999,2021-03-16T15_21_33.108346+00_00_HC_C7
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.023,2021-03-16T15_21_33.108346+00_00_HC_E7
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.098,2021-03-16T15_21_33.108346+00_00_HC_G7
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.125,2021-03-16T15_21_33.108346+00_00_HC_A9
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.09899999999999999,2021-03-16T15_21_33.108346+00_00_HC_C9
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.044,2021-03-16T15_21_33.108346+00_00_HC_E9
4-Methoxy-Phenylammonium_iodide__Gamma-Butyrolactone,3.1249418955289907,4.31 gram,7.246799410572333,3.06 milliliter,5.493390865242652,2,0.133,2021-03-16T15_21_33.108346+00_00_HC_G9
