chemsys,molarity__4-Trifluoromethyl-Benzylammonium iodide (M),prepare__4-Trifluoromethyl-Benzylammonium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.024999999999999998,2019-11-11T16_11_56.387734+00_00_LBL_A1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.074,2019-11-11T16_11_56.387734+00_00_LBL_C1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.002,2019-11-11T16_11_56.387734+00_00_LBL_E1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.027,2019-11-11T16_11_56.387734+00_00_LBL_A3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.052,2019-11-11T16_11_56.387734+00_00_LBL_C3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.001,2019-11-11T16_11_56.387734+00_00_LBL_E3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.009999999999999998,2019-11-11T16_11_56.387734+00_00_LBL_G3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.004999999999999999,2019-11-11T16_11_56.387734+00_00_LBL_A5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.082,2019-11-11T16_11_56.387734+00_00_LBL_C5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.031,2019-11-11T16_11_56.387734+00_00_LBL_E5
