chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__4-Trifluoromethyl-Benzylammonium iodide (M),prepare__4-Trifluoromethyl-Benzylammonium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.106,2019-11-11T16_11_56.387734+00_00_LBL_A1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.024,2019-11-11T16_11_56.387734+00_00_LBL_C1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.011,2019-11-11T16_11_56.387734+00_00_LBL_E1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.078,2019-11-11T16_11_56.387734+00_00_LBL_G1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.116,2019-11-11T16_11_56.387734+00_00_LBL_A3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.012,2019-11-11T16_11_56.387734+00_00_LBL_C3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.015,2019-11-11T16_11_56.387734+00_00_LBL_E3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.016,2019-11-11T16_11_56.387734+00_00_LBL_G3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.16199999999999998,2019-11-11T16_11_56.387734+00_00_LBL_A5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.107,2019-11-11T16_11_56.387734+00_00_LBL_C5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.003,2019-11-11T16_11_56.387734+00_00_LBL_E5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.103,2019-11-11T16_11_56.387734+00_00_LBL_G5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.121,2019-11-11T16_11_56.387734+00_00_LBL_A7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.15199999999999997,2019-11-11T16_11_56.387734+00_00_LBL_C7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.026,2019-11-11T16_11_56.387734+00_00_LBL_E7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.11499999999999999,2019-11-11T16_11_56.387734+00_00_LBL_G7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.07599999999999998,2019-11-11T16_11_56.387734+00_00_LBL_A9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.008,2019-11-11T16_11_56.387734+00_00_LBL_C9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.016,2019-11-11T16_11_56.387734+00_00_LBL_E9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.127,2019-11-11T16_11_56.387734+00_00_LBL_G9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.111,2019-11-11T16_11_56.387734+00_00_LBL_A11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.058,2019-11-11T16_11_56.387734+00_00_LBL_C11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.064,2019-11-11T16_11_56.387734+00_00_LBL_E11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.7254393576491824,4.62 gram,1.7156633129452512,3.02 gram,7.8397358478110615,3.5 milliliter,5.808071169801898,1,0.195,2019-11-11T16_11_56.387734+00_00_LBL_G11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.019999999999999997,2020-01-17T15_31_16.708198+00_00_LBL_A1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.027,2020-01-17T15_31_16.708198+00_00_LBL_C1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.011,2020-01-17T15_31_16.708198+00_00_LBL_E1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.017,2020-01-17T15_31_16.708198+00_00_LBL_G1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.041,2020-01-17T15_31_16.708198+00_00_LBL_A3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.098,2020-01-17T15_31_16.708198+00_00_LBL_C3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.018000000000000002,2020-01-17T15_31_16.708198+00_00_LBL_E3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.083,2020-01-17T15_31_16.708198+00_00_LBL_G3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.020999999999999998,2020-01-17T15_31_16.708198+00_00_LBL_A5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.006,2020-01-17T15_31_16.708198+00_00_LBL_C5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.013,2020-01-17T15_31_16.708198+00_00_LBL_E5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.022,2020-01-17T15_31_16.708198+00_00_LBL_G5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.071,2020-01-17T15_31_16.708198+00_00_LBL_A7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.017,2020-01-17T15_31_16.708198+00_00_LBL_C7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.016,2020-01-17T15_31_16.708198+00_00_LBL_E7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.028,2020-01-17T15_31_16.708198+00_00_LBL_G7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.028,2020-01-17T15_31_16.708198+00_00_LBL_A9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.053,2020-01-17T15_31_16.708198+00_00_LBL_C9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.032999999999999995,2020-01-17T15_31_16.708198+00_00_LBL_E9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.074,2020-01-17T15_31_16.708198+00_00_LBL_G9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.019999999999999997,2020-01-17T15_31_16.708198+00_00_LBL_A11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.031,2020-01-17T15_31_16.708198+00_00_LBL_C11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.07599999999999998,2020-01-17T15_31_16.708198+00_00_LBL_E11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2493869719950077,3.03 gram,0.9345617668298195,1.49 gram,9.892134135694954,4.0 milliliter,5.260600349666173,1,0.023,2020-01-17T15_31_16.708198+00_00_LBL_G11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.604270983100624,5.41 gram,1.6058236813896012,3.56 gram,8.181142471191572,4.6 milliliter,7.314913430231773,1,0.106,2021-05-17T18_21_49.529476+00_00_HC_A1
