chemsys,molarity__Acetamidinium iodide (M),prepare__Acetamidinium iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.12299999999999998,2019-06-19T15_03_07.301134+00_00_LBL_C1
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.001,2019-06-19T15_03_07.301134+00_00_LBL_E1
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.067,2019-06-19T15_03_07.301134+00_00_LBL_G1
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.034999999999999996,2019-06-19T15_03_07.301134+00_00_LBL_A3
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.287,2019-06-19T15_03_07.301134+00_00_LBL_C3
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.075,2019-06-19T15_03_07.301134+00_00_LBL_E3
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.147,2019-06-19T15_03_07.301134+00_00_LBL_G3
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.257,2019-06-19T15_03_07.301134+00_00_LBL_A5
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.39399999999999996,2019-06-19T15_03_07.301134+00_00_LBL_C5
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.247,2019-06-19T15_03_07.301134+00_00_LBL_E5
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.062,2019-06-19T15_03_07.301134+00_00_LBL_G5
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.092,2019-06-19T15_03_07.301134+00_00_LBL_A7
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.146,2019-06-19T15_03_07.301134+00_00_LBL_C7
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.058,2019-06-19T15_03_07.301134+00_00_LBL_E7
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.375,2019-06-19T15_03_07.301134+00_00_LBL_G7
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.18,2019-06-19T15_03_07.301134+00_00_LBL_A9
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.006,2019-06-19T15_03_07.301134+00_00_LBL_C9
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.022,2019-06-19T15_03_07.301134+00_00_LBL_E9
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.052,2019-06-19T15_03_07.301134+00_00_LBL_G9
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.092,2019-06-19T15_03_07.301134+00_00_LBL_A11
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.041,2019-06-19T15_03_07.301134+00_00_LBL_C11
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.08499999999999999,2019-06-19T15_03_07.301134+00_00_LBL_E11
Acetamidinium_iodide__Dimethylformamide,4.83786481900006,7.668 gram,7.575985548409048,5.0 milliliter,8.522862541744406,2,0.036000000000000004,2019-06-19T15_03_07.301134+00_00_LBL_G11
