chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Acetamidinium iodide (M),prepare__Acetamidinium iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.46199999999999997,2019-06-19T15_03_07.301134+00_00_LBL_A1
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.34299999999999997,2019-06-19T15_03_07.301134+00_00_LBL_C1
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.018999999999999996,2019-06-19T15_03_07.301134+00_00_LBL_E1
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.292,2019-06-19T15_03_07.301134+00_00_LBL_G1
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.024999999999999998,2019-06-19T15_03_07.301134+00_00_LBL_A3
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.153,2019-06-19T15_03_07.301134+00_00_LBL_C3
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.164,2019-06-19T15_03_07.301134+00_00_LBL_E3
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.259,2019-06-19T15_03_07.301134+00_00_LBL_G3
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.141,2019-06-19T15_03_07.301134+00_00_LBL_A5
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.064,2019-06-19T15_03_07.301134+00_00_LBL_C5
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.106,2019-06-19T15_03_07.301134+00_00_LBL_E5
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.43799999999999994,2019-06-19T15_03_07.301134+00_00_LBL_G5
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.134,2019-06-19T15_03_07.301134+00_00_LBL_A7
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.092,2019-06-19T15_03_07.301134+00_00_LBL_C7
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.33799999999999997,2019-06-19T15_03_07.301134+00_00_LBL_E7
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.104,2019-06-19T15_03_07.301134+00_00_LBL_G7
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.31099999999999994,2019-06-19T15_03_07.301134+00_00_LBL_A9
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.125,2019-06-19T15_03_07.301134+00_00_LBL_C9
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.24,2019-06-19T15_03_07.301134+00_00_LBL_E9
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.235,2019-06-19T15_03_07.301134+00_00_LBL_G9
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.039999999999999994,2019-06-19T15_03_07.301134+00_00_LBL_A11
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.43999999999999995,2019-06-19T15_03_07.301134+00_00_LBL_C11
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.202,2019-06-19T15_03_07.301134+00_00_LBL_E11
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,2.1724278214407877,11.638 gram,1.8342904453787476,3.964 gram,8.790396199401709,7.91 milliliter,11.620442093455619,1,0.187,2019-06-19T15_03_07.301134+00_00_LBL_G11
Acetamidinium_iodide__Dimethylformamide__Lead_Diiodide,0.5496920571543906,0.285 gram,0.8156823844790662,0.1706 gram,11.482582249439405,1.0 milliliter,1.124643952809217,1,0.18,2020-11-25T22_28_56.039621+00_00_HC_C1
