chemsys,molarity__Acetamidinium iodide (M),prepare__Acetamidinium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.016,2020-06-30T14_11_13.204513+00_00_LBL_A1
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.06999999999999999,2020-06-30T14_11_13.204513+00_00_LBL_C1
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.134,2020-06-30T14_11_13.204513+00_00_LBL_E1
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.092,2020-06-30T14_11_13.204513+00_00_LBL_G1
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.15,2020-06-30T14_11_13.204513+00_00_LBL_A3
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.049,2020-06-30T14_11_13.204513+00_00_LBL_C3
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.036000000000000004,2020-06-30T14_11_13.204513+00_00_LBL_E3
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.006,2020-06-30T14_11_13.204513+00_00_LBL_G3
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.011,2020-06-30T14_11_13.204513+00_00_LBL_A5
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.024,2020-06-30T14_11_13.204513+00_00_LBL_C5
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.041999999999999996,2020-06-30T14_11_13.204513+00_00_LBL_E5
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.12,2020-06-30T14_11_13.204513+00_00_LBL_G5
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.075,2020-06-30T14_11_13.204513+00_00_LBL_A7
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.009999999999999998,2020-06-30T14_11_13.204513+00_00_LBL_C7
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.053,2020-06-30T14_11_13.204513+00_00_LBL_E7
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.023,2020-06-30T14_11_13.204513+00_00_LBL_G7
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.003,2020-06-30T14_11_13.204513+00_00_LBL_A9
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.024,2020-06-30T14_11_13.204513+00_00_LBL_C9
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.105,2020-06-30T14_11_13.204513+00_00_LBL_E9
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.052,2020-06-30T14_11_13.204513+00_00_LBL_G9
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.039,2020-06-30T14_11_13.204513+00_00_LBL_A11
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.061,2020-06-30T14_11_13.204513+00_00_LBL_C11
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.001,2020-06-30T14_11_13.204513+00_00_LBL_E11
Acetamidinium_iodide__Gamma-Butyrolactone,3.8244043461672335,6.592 gram,8.758694931724632,6.24 milliliter,9.268522414603433,2,0.074,2020-06-30T14_11_13.204513+00_00_LBL_G11
