chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Acetamidinium iodide (M),prepare__Acetamidinium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.075,2020-06-30T14_11_13.204513+00_00_LBL_A1
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.014,2020-06-30T14_11_13.204513+00_00_LBL_C1
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.013,2020-06-30T14_11_13.204513+00_00_LBL_E1
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.019999999999999997,2020-06-30T14_11_13.204513+00_00_LBL_G1
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.007,2020-06-30T14_11_13.204513+00_00_LBL_A3
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.08499999999999999,2020-06-30T14_11_13.204513+00_00_LBL_C3
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.14400000000000002,2020-06-30T14_11_13.204513+00_00_LBL_E3
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.16099999999999998,2020-06-30T14_11_13.204513+00_00_LBL_G3
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.098,2020-06-30T14_11_13.204513+00_00_LBL_A5
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.034999999999999996,2020-06-30T14_11_13.204513+00_00_LBL_C5
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.05499999999999999,2020-06-30T14_11_13.204513+00_00_LBL_E5
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.078,2020-06-30T14_11_13.204513+00_00_LBL_G5
Acetamidinium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.0382206724354772,5.432 gram,0.7912502073603278,1.67 gram,11.119296368904156,9.7 milliliter,11.349056111488652,1,0.07599999999999998,2020-06-30T14_11_13.204513+00_00_LBL_A7
