chemsys,molarity__Cyclohexylmethylammonium iodide (M),prepare__Cyclohexylmethylammonium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.071,2019-12-03T14_26_34.696140+00_00_LBL_A1
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.087,2019-12-03T14_26_34.696140+00_00_LBL_C1
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.046,2019-12-03T14_26_34.696140+00_00_LBL_E1
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.05499999999999999,2019-12-03T14_26_34.696140+00_00_LBL_G1
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.068,2019-12-03T14_26_34.696140+00_00_LBL_A3
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.09899999999999999,2019-12-03T14_26_34.696140+00_00_LBL_C3
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.028,2019-12-03T14_26_34.696140+00_00_LBL_E3
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.067,2019-12-03T14_26_34.696140+00_00_LBL_G3
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.026,2019-12-03T14_26_34.696140+00_00_LBL_C5
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.032999999999999995,2019-12-03T14_26_34.696140+00_00_LBL_E5
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.06899999999999999,2019-12-03T14_26_34.696140+00_00_LBL_G5
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.043,2019-12-03T14_26_34.696140+00_00_LBL_A7
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.036000000000000004,2019-12-03T14_26_34.696140+00_00_LBL_C7
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.047,2019-12-03T14_26_34.696140+00_00_LBL_E7
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.079,2019-12-03T14_26_34.696140+00_00_LBL_G7
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.049999999999999996,2019-12-03T14_26_34.696140+00_00_LBL_A9
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.03799999999999999,2019-12-03T14_26_34.696140+00_00_LBL_C9
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.19999999999999998,2019-12-03T14_26_34.696140+00_00_LBL_E9
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.178,2019-12-03T14_26_34.696140+00_00_LBL_G9
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.027,2019-12-03T14_26_34.696140+00_00_LBL_A11
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.032,2019-12-03T14_26_34.696140+00_00_LBL_C11
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.039,2019-12-03T14_26_34.696140+00_00_LBL_E11
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone,1.9474984978112813,2.73 gram,8.950659035912267,4.0 milliliter,5.813936614543121,2,0.061,2019-12-03T14_26_34.696140+00_00_LBL_G11
