chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Cyclohexylmethylammonium iodide (M),prepare__Cyclohexylmethylammonium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.135,2019-12-03T14_26_34.696140+00_00_LBL_A1
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.047,2019-12-03T14_26_34.696140+00_00_LBL_C1
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.020999999999999998,2019-12-03T14_26_34.696140+00_00_LBL_E1
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.048,2019-12-03T14_26_34.696140+00_00_LBL_G1
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.06899999999999999,2019-12-03T14_26_34.696140+00_00_LBL_A3
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.028,2019-12-03T14_26_34.696140+00_00_LBL_C3
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.056,2019-12-03T14_26_34.696140+00_00_LBL_E3
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.09899999999999999,2019-12-03T14_26_34.696140+00_00_LBL_G3
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.16699999999999998,2019-12-03T14_26_34.696140+00_00_LBL_A5
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.165,2019-12-03T14_26_34.696140+00_00_LBL_C5
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.097,2019-12-03T14_26_34.696140+00_00_LBL_E5
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.056999999999999995,2019-12-03T14_26_34.696140+00_00_LBL_G5
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.13799999999999998,2019-12-03T14_26_34.696140+00_00_LBL_A7
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.039999999999999994,2019-12-03T14_26_34.696140+00_00_LBL_C7
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.082,2019-12-03T14_26_34.696140+00_00_LBL_E7
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.105,2019-12-03T14_26_34.696140+00_00_LBL_G7
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.187,2019-12-03T14_26_34.696140+00_00_LBL_A9
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.06599999999999999,2019-12-03T14_26_34.696140+00_00_LBL_C9
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.020999999999999998,2019-12-03T14_26_34.696140+00_00_LBL_E9
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.051,2019-12-03T14_26_34.696140+00_00_LBL_G9
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.014,2019-12-03T14_26_34.696140+00_00_LBL_A11
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.047,2019-12-03T14_26_34.696140+00_00_LBL_C11
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.032,2019-12-03T14_26_34.696140+00_00_LBL_E11
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.030927575699095,2.8 gram,0.9926230611383454,1.41 gram,9.937068869920687,4.5 milliliter,5.891413815902891,1,0.071,2019-12-03T14_26_34.696140+00_00_LBL_G11
Cyclohexylmethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,0.49300350819469224,0.271 gram,0.7767201373070837,0.2233 gram,10.910794589819343,1.0 milliliter,1.1923642193240849,0,0.18,2020-06-22T14_21_59.590476+00_00_HC_A1
