chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Di-isopropylammonium iodide (M),prepare__Di-isopropylammonium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.012,2020-02-05T15_50_02.982946+00_00_LBL_A1
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.004999999999999999,2020-02-05T15_50_02.982946+00_00_LBL_C1
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.056,2020-02-05T15_50_02.982946+00_00_LBL_E1
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.10999999999999999,2020-02-05T15_50_02.982946+00_00_LBL_G1
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.024,2020-02-05T15_50_02.982946+00_00_LBL_A3
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.003,2020-02-05T15_50_02.982946+00_00_LBL_C3
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.071,2020-02-05T15_50_02.982946+00_00_LBL_E3
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.045,2020-02-05T15_50_02.982946+00_00_LBL_G3
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.002,2020-02-05T15_50_02.982946+00_00_LBL_A5
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.013,2020-02-05T15_50_02.982946+00_00_LBL_C5
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.041999999999999996,2020-02-05T15_50_02.982946+00_00_LBL_E5
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.039,2020-02-05T15_50_02.982946+00_00_LBL_G5
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.047,2020-02-05T15_50_02.982946+00_00_LBL_A7
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.011,2020-02-05T15_50_02.982946+00_00_LBL_C7
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.028,2020-02-05T15_50_02.982946+00_00_LBL_E7
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.016,2020-02-05T15_50_02.982946+00_00_LBL_G7
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.098,2020-02-05T15_50_02.982946+00_00_LBL_A9
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.002,2020-02-05T15_50_02.982946+00_00_LBL_C9
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.047,2020-02-05T15_50_02.982946+00_00_LBL_E9
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.006,2020-02-05T15_50_02.982946+00_00_LBL_G9
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.014,2020-02-05T15_50_02.982946+00_00_LBL_A11
Di-isopropylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.2340662325431089,2.78 gram,1.2148365177092568,1.36 gram,9.318314803353772,3.5 milliliter,4.886478372693068,1,0.008,2020-02-05T15_50_02.982946+00_00_LBL_C11
