chemsys,molarity__Dichloromethane (M),prepare__Dichloromethane,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_A1
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_C1
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_E1
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_G1
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_A3
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_C3
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_E3
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_G3
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_A5
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_C5
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_E5
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_G5
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_A7
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_C7
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_E7
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_G7
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_A9
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_C9
