chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Diethylammonium iodide (M),prepare__Diethylammonium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.026,2020-02-05T15_44_25.589623+00_00_LBL_A1
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.018999999999999996,2020-02-05T15_44_25.589623+00_00_LBL_C1
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.062,2020-02-05T15_44_25.589623+00_00_LBL_E1
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.009999999999999998,2020-02-05T15_44_25.589623+00_00_LBL_G1
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.022,2020-02-05T15_44_25.589623+00_00_LBL_A3
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.008,2020-02-05T15_44_25.589623+00_00_LBL_C3
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.093,2020-02-05T15_44_25.589623+00_00_LBL_E3
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.108,2020-02-05T15_44_25.589623+00_00_LBL_G3
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.078,2020-02-05T15_44_25.589623+00_00_LBL_A5
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.06,2020-02-05T15_44_25.589623+00_00_LBL_C5
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.004999999999999999,2020-02-05T15_44_25.589623+00_00_LBL_E5
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.05499999999999999,2020-02-05T15_44_25.589623+00_00_LBL_G5
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.056,2020-02-05T15_44_25.589623+00_00_LBL_A7
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.116,2020-02-05T15_44_25.589623+00_00_LBL_C7
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.08399999999999999,2020-02-05T15_44_25.589623+00_00_LBL_E7
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.09099999999999998,2020-02-05T15_44_25.589623+00_00_LBL_G7
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.08099999999999999,2020-02-05T15_44_25.589623+00_00_LBL_A9
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.032999999999999995,2020-02-05T15_44_25.589623+00_00_LBL_C9
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.018000000000000002,2020-02-05T15_44_25.589623+00_00_LBL_E9
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.008,2020-02-05T15_44_25.589623+00_00_LBL_G9
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.009999999999999998,2020-02-05T15_44_25.589623+00_00_LBL_A11
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.032,2020-02-05T15_44_25.589623+00_00_LBL_C11
Diethylammonium_iodide__Gamma-Butyrolactone__Lead_Diiodide,1.6245220292292393,3.95 gram,1.791795241212049,1.9 gram,8.633208199027184,3.5 milliliter,5.274255260247835,1,0.077,2020-02-05T15_44_25.589623+00_00_LBL_E11
