chemsys,molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.136,2019-11-01T13_24_43.222072+00_00_LBL_A1
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.041999999999999996,2019-11-01T13_24_43.222072+00_00_LBL_C1
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.103,2019-11-01T13_24_43.222072+00_00_LBL_E1
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.17300000000000001,2019-11-01T13_24_43.222072+00_00_LBL_G1
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.044,2019-11-01T13_24_43.222072+00_00_LBL_A3
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.09099999999999998,2019-11-01T13_24_43.222072+00_00_LBL_C3
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.002,2019-11-01T13_24_43.222072+00_00_LBL_E3
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.032,2019-11-01T13_24_43.222072+00_00_LBL_G3
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.022,2019-11-01T13_24_43.222072+00_00_LBL_A5
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.12299999999999998,2019-11-01T13_24_43.222072+00_00_LBL_C5
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.03799999999999999,2019-11-01T13_24_43.222072+00_00_LBL_E5
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.03799999999999999,2019-11-01T13_24_43.222072+00_00_LBL_G5
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.10999999999999999,2019-11-01T13_24_43.222072+00_00_LBL_A7
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.020999999999999998,2019-11-01T13_24_43.222072+00_00_LBL_C7
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.08099999999999999,2019-11-01T13_24_43.222072+00_00_LBL_E7
Dimethyl_sulfoxide,14.079098937667988,10.0 milliliter,10.0,0,0.026,2019-11-01T13_24_43.222072+00_00_LBL_G7
