chemsys,molarity__Dimethylformamide (M),prepare__Dimethylformamide,molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.092,2020-06-30T14_02_45.381323+00_00_LBL_A1
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.107,2020-06-30T14_02_45.381323+00_00_LBL_C1
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.019999999999999997,2020-06-30T14_02_45.381323+00_00_LBL_E1
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.087,2020-06-30T14_02_45.381323+00_00_LBL_G1
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.187,2020-06-30T14_02_45.381323+00_00_LBL_A3
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.056,2020-06-30T14_02_45.381323+00_00_LBL_C3
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.077,2020-06-30T14_02_45.381323+00_00_LBL_E3
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.082,2020-06-30T14_02_45.381323+00_00_LBL_G3
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.092,2020-06-30T14_02_45.381323+00_00_LBL_A5
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.096,2020-06-30T14_02_45.381323+00_00_LBL_C5
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.111,2020-06-30T14_02_45.381323+00_00_LBL_E5
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.119,2020-06-30T14_02_45.381323+00_00_LBL_G5
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.015,2020-06-30T14_02_45.381323+00_00_LBL_A7
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.016,2020-06-30T14_02_45.381323+00_00_LBL_C7
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.034,2020-06-30T14_02_45.381323+00_00_LBL_E7
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.06999999999999999,2020-06-30T14_02_45.381323+00_00_LBL_G7
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.001,2020-06-30T14_02_45.381323+00_00_LBL_A9
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.014,2020-06-30T14_02_45.381323+00_00_LBL_C9
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.258,2020-06-30T14_02_45.381323+00_00_LBL_E9
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.024999999999999998,2020-06-30T14_02_45.381323+00_00_LBL_G9
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.098,2020-06-30T14_02_45.381323+00_00_LBL_A11
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.103,2020-06-30T14_02_45.381323+00_00_LBL_C11
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.039,2020-06-30T14_02_45.381323+00_00_LBL_E11
Dimethyl_sulfoxide__Dimethylformamide,6.456908344733243,7.5 milliliter,7.039549468833996,7.5 milliliter,15.0,0,0.18899999999999997,2020-06-30T14_02_45.381323+00_00_LBL_G11
