chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Phenethylammonium iodide  (M),prepare__Phenethylammonium iodide ,molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,0.5106498288662376,0.1615 gram,0.761315337232407,0.1301 gram,11.903203663687316,0.58 milliliter,0.6860234954022327,2,0.18,2020-11-30T18_12_22.108199+00_00_HC_E1
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.105,2021-05-24T15_50_13.712202+00_00_HC_A1
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.046,2021-05-24T15_50_13.712202+00_00_HC_C1
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.19699999999999998,2021-05-24T15_50_13.712202+00_00_HC_E1
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.026,2021-05-24T15_50_13.712202+00_00_HC_G1
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.067,2021-05-24T15_50_13.712202+00_00_HC_A3
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.07599999999999998,2021-05-24T15_50_13.712202+00_00_HC_C3
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.141,2021-05-24T15_50_13.712202+00_00_HC_E3
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.09899999999999999,2021-05-24T15_50_13.712202+00_00_HC_G3
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.036000000000000004,2021-05-24T15_50_13.712202+00_00_HC_A5
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.056,2021-05-24T15_50_13.712202+00_00_HC_C5
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.078,2021-05-24T15_50_13.712202+00_00_HC_E5
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.068,2021-05-24T15_50_13.712202+00_00_HC_G5
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.056999999999999995,2021-05-24T15_50_13.712202+00_00_HC_A7
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.106,2021-05-24T15_50_13.712202+00_00_HC_C7
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.086,2021-05-24T15_50_13.712202+00_00_HC_E7
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519,1,0.056,2021-05-24T15_50_13.712202+00_00_HC_G7
