chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,"molarity__Piperazine-1,4-diium iodide (M)","prepare__Piperazine-1,4-diium iodide",molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.044,2020-01-25T22_08_57.268862+00_00_LBL_A1
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.034999999999999996,2020-01-25T22_08_57.268862+00_00_LBL_C1
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.024999999999999998,2020-01-25T22_08_57.268862+00_00_LBL_E1
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.004999999999999999,2020-01-25T22_08_57.268862+00_00_LBL_G1
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.004999999999999999,2020-01-25T22_08_57.268862+00_00_LBL_A3
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.063,2020-01-25T22_08_57.268862+00_00_LBL_C3
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.058,2020-01-25T22_08_57.268862+00_00_LBL_E3
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.051,2020-01-25T22_08_57.268862+00_00_LBL_G3
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.009000000000000001,2020-01-25T22_08_57.268862+00_00_LBL_A5
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.06499999999999999,2020-01-25T22_08_57.268862+00_00_LBL_C5
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.015,2020-01-25T22_08_57.268862+00_00_LBL_E5
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.029,2020-01-25T22_08_57.268862+00_00_LBL_G5
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.011,2020-01-25T22_08_57.268862+00_00_LBL_A7
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.03799999999999999,2020-01-25T22_08_57.268862+00_00_LBL_C7
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.048,2020-01-25T22_08_57.268862+00_00_LBL_E7
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.044,2020-01-25T22_08_57.268862+00_00_LBL_G7
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.004,2020-01-25T22_08_57.268862+00_00_LBL_A9
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.011,2020-01-25T22_08_57.268862+00_00_LBL_C9
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.028,2020-01-25T22_08_57.268862+00_00_LBL_E9
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.064,2020-01-25T22_08_57.268862+00_00_LBL_G9
"Dimethyl_sulfoxide__Lead_Diiodide__Piperazine-1,4-diium_iodide",0.45612799459838155,2.03 gram,0.23112677808745719,0.763 gram,13.125577058439413,9.0 milliliter,9.653814828471818,1,0.018000000000000002,2020-01-25T22_08_57.268862+00_00_LBL_A11
