chemsys,molarity__Phenethylammonium iodide  (M),prepare__Phenethylammonium iodide ,molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.018999999999999996,2021-05-24T15_50_13.712202+00_00_HC_A1
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.044,2021-05-24T15_50_13.712202+00_00_HC_C1
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.027,2021-05-24T15_50_13.712202+00_00_HC_E1
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.097,2021-05-24T15_50_13.712202+00_00_HC_G1
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.032,2021-05-24T15_50_13.712202+00_00_HC_A3
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.126,2021-05-24T15_50_13.712202+00_00_HC_C3
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.043,2021-05-24T15_50_13.712202+00_00_HC_E3
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.063,2021-05-24T15_50_13.712202+00_00_HC_G3
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.082,2021-05-24T15_50_13.712202+00_00_HC_C5
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.15,2021-05-24T15_50_13.712202+00_00_HC_G5
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.049,2021-05-24T15_50_13.712202+00_00_HC_A7
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.004999999999999999,2021-05-24T15_50_13.712202+00_00_HC_C7
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.041999999999999996,2021-05-24T15_50_13.712202+00_00_HC_E7
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.009000000000000001,2021-05-24T15_50_13.712202+00_00_HC_G7
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.006,2021-05-24T15_50_13.712202+00_00_HC_A9
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.041,2021-05-24T15_50_13.712202+00_00_HC_C9
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.052,2021-05-24T15_50_13.712202+00_00_HC_E9
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.186,2021-05-24T15_50_13.712202+00_00_HC_G9
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.12,2021-05-24T15_50_13.712202+00_00_HC_A11
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.073,2021-05-24T15_50_13.712202+00_00_HC_C11
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.053,2021-05-24T15_50_13.712202+00_00_HC_E11
Dimethyl_sulfoxide__Phenethylammonium_iodide_,3.0508867793157477,4.1144 gram,7.515640720003107,2.89 milliliter,5.413855910057882,2,0.092,2021-05-24T15_50_13.712202+00_00_HC_G11
