chemsys,"molarity__Piperazine-1,4-diium iodide (M)","prepare__Piperazine-1,4-diium iodide",molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.020999999999999998,2020-01-25T22_08_57.268862+00_00_LBL_A1
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.006,2020-01-25T22_08_57.268862+00_00_LBL_C1
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.034999999999999996,2020-01-25T22_08_57.268862+00_00_LBL_E1
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.078,2020-01-25T22_08_57.268862+00_00_LBL_G1
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.024,2020-01-25T22_08_57.268862+00_00_LBL_A3
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.018000000000000002,2020-01-25T22_08_57.268862+00_00_LBL_C3
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.022,2020-01-25T22_08_57.268862+00_00_LBL_E3
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.018000000000000002,2020-01-25T22_08_57.268862+00_00_LBL_G3
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.028,2020-01-25T22_08_57.268862+00_00_LBL_A5
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.002,2020-01-25T22_08_57.268862+00_00_LBL_C5
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.045,2020-01-25T22_08_57.268862+00_00_LBL_E5
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.034,2020-01-25T22_08_57.268862+00_00_LBL_G5
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.058,2020-01-25T22_08_57.268862+00_00_LBL_A7
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.020999999999999998,2020-01-25T22_08_57.268862+00_00_LBL_C7
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.009000000000000001,2020-01-25T22_08_57.268862+00_00_LBL_E7
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.031,2020-01-25T22_08_57.268862+00_00_LBL_G7
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.044,2020-01-25T22_08_57.268862+00_00_LBL_A9
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.043,2020-01-25T22_08_57.268862+00_00_LBL_C9
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.009999999999999998,2020-01-25T22_08_57.268862+00_00_LBL_E9
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.011,2020-01-25T22_08_57.268862+00_00_LBL_G9
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.022,2020-01-25T22_08_57.268862+00_00_LBL_A11
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.044,2020-01-25T22_08_57.268862+00_00_LBL_C11
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.075,2020-01-25T22_08_57.268862+00_00_LBL_E11
"Dimethyl_sulfoxide__Piperazine-1,4-diium_iodide",1.0268813912988604,1.651 gram,11.977974140861047,4.0 milliliter,4.701662826149967,2,0.018000000000000002,2020-01-25T22_08_57.268862+00_00_LBL_G11
