chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,"molarity__N,N-Dimethylethane-1,2-diammonium iodide (M)","prepare__N,N-Dimethylethane-1,2-diammonium iodide",molarity__Dimethylformamide (M),prepare__Dimethylformamide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.075,2020-06-23T21_04_02.046005+00_00_LBL_A1
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.086,2020-06-23T21_04_02.046005+00_00_LBL_C1
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.029,2020-06-23T21_04_02.046005+00_00_LBL_E1
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.032999999999999995,2020-06-23T21_04_02.046005+00_00_LBL_G1
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.032,2020-06-23T21_04_02.046005+00_00_LBL_A3
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.018999999999999996,2020-06-23T21_04_02.046005+00_00_LBL_C3
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.032999999999999995,2020-06-23T21_04_02.046005+00_00_LBL_E3
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.007,2020-06-23T21_04_02.046005+00_00_LBL_G3
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.06599999999999999,2020-06-23T21_04_02.046005+00_00_LBL_A5
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.097,2020-06-23T21_04_02.046005+00_00_LBL_C5
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.015,2020-06-23T21_04_02.046005+00_00_LBL_E5
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.041,2020-06-23T21_04_02.046005+00_00_LBL_G5
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.07200000000000001,2020-06-23T21_04_02.046005+00_00_LBL_C7
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.03,2020-06-23T21_04_02.046005+00_00_LBL_E7
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.037,2020-06-23T21_04_02.046005+00_00_LBL_G7
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.009000000000000001,2020-06-23T21_04_02.046005+00_00_LBL_C9
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.027,2020-06-23T21_04_02.046005+00_00_LBL_E9
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.024,2020-06-23T21_04_02.046005+00_00_LBL_G9
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.003,2020-06-23T21_04_02.046005+00_00_LBL_A11
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.071,2020-06-23T21_04_02.046005+00_00_LBL_C11
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.016,2020-06-23T21_04_02.046005+00_00_LBL_E11
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.2817178634306716,5.23 gram,0.8894398063586509,2.708 gram,4.9314247661051365,3.38 milliliter,4.968017413420324,3.38 milliliter,8.851133796140354,1,0.028,2020-06-23T21_04_02.046005+00_00_LBL_G11
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.5040604419824607,0.32 gram,0.7599977248768125,0.36 gram,5.439081851670449,0.58 milliliter,5.479441466458572,0.58 milliliter,1.3770731686250006,4,0.18,2020-07-06T16_12_50.344926+00_00_HC_G1
"Dimethylformamide__Gamma-Butyrolactone__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.5309771892809917,0.1685 gram,0.7458368072564762,0.1766 gram,5.440501323236775,0.29 milliliter,5.480871470928646,0.29 milliliter,0.6883569394515326,4,0.18,2020-11-25T23_09_35.145018+00_00_HC_G1
