chemsys,"molarity__N,N-Dimethylethane-1,2-diammonium iodide (M)","prepare__N,N-Dimethylethane-1,2-diammonium iodide",molarity__Dimethylformamide (M),prepare__Dimethylformamide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.068,2020-06-23T21_04_02.046005+00_00_LBL_A1
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.009000000000000001,2020-06-23T21_04_02.046005+00_00_LBL_C1
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.097,2020-06-23T21_04_02.046005+00_00_LBL_E1
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.019999999999999997,2020-06-23T21_04_02.046005+00_00_LBL_G1
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.11499999999999999,2020-06-23T21_04_02.046005+00_00_LBL_A3
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.102,2020-06-23T21_04_02.046005+00_00_LBL_C3
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.107,2020-06-23T21_04_02.046005+00_00_LBL_E3
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.028,2020-06-23T21_04_02.046005+00_00_LBL_G3
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.018999999999999996,2020-06-23T21_04_02.046005+00_00_LBL_A5
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.028,2020-06-23T21_04_02.046005+00_00_LBL_C5
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.075,2020-06-23T21_04_02.046005+00_00_LBL_E5
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.022,2020-06-23T21_04_02.046005+00_00_LBL_G5
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.03,2020-06-23T21_04_02.046005+00_00_LBL_A7
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.104,2020-06-23T21_04_02.046005+00_00_LBL_C7
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.056999999999999995,2020-06-23T21_04_02.046005+00_00_LBL_E7
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.058,2020-06-23T21_04_02.046005+00_00_LBL_G7
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.096,2020-06-23T21_04_02.046005+00_00_LBL_A9
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.11699999999999999,2020-06-23T21_04_02.046005+00_00_LBL_C9
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.05499999999999999,2020-06-23T21_04_02.046005+00_00_LBL_E9
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.039,2020-06-23T21_04_02.046005+00_00_LBL_G9
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.159,2020-06-23T21_04_02.046005+00_00_LBL_A11
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.032,2020-06-23T21_04_02.046005+00_00_LBL_C11
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.059,2020-06-23T21_04_02.046005+00_00_LBL_E11
"Dimethylformamide__Gamma-Butyrolactone__N,N-Dimethylethane-1,2-diammonium_iodide",2.0377936902097087,6.736 gram,4.380902060958706,3.26 milliliter,4.413409665077678,3.26 milliliter,9.609674405377573,2,0.107,2020-06-23T21_04_02.046005+00_00_LBL_G11
