chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Methylammonium iodide (M),prepare__Methylammonium iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,0.517362819635017,0.1625 gram,0.7552492887834287,0.0818 gram,11.751640637873411,0.62 milliliter,0.6813147707789418,1,0.18,2020-06-26T15_05_30.850680+00_00_HC_C1
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.125,2020-11-02T14_08_41.372477+00_00_LBL_A1
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.034,2020-11-02T14_08_41.372477+00_00_LBL_C1
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.07999999999999999,2020-11-02T14_08_41.372477+00_00_LBL_E1
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.121,2020-11-02T14_08_41.372477+00_00_LBL_G1
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.061,2020-11-02T14_08_41.372477+00_00_LBL_A3
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.05499999999999999,2020-11-02T14_08_41.372477+00_00_LBL_C3
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.13799999999999998,2020-11-02T14_08_41.372477+00_00_LBL_E3
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.037,2020-11-02T14_08_41.372477+00_00_LBL_G3
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.10999999999999999,2020-11-02T14_08_41.372477+00_00_LBL_A5
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.096,2020-11-02T14_08_41.372477+00_00_LBL_C5
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.067,2020-11-02T14_08_41.372477+00_00_LBL_E5
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.062,2020-11-02T14_08_41.372477+00_00_LBL_G5
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.107,2020-11-02T14_08_41.372477+00_00_LBL_A7
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.102,2020-11-02T14_08_41.372477+00_00_LBL_C7
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.129,2020-11-02T14_08_41.372477+00_00_LBL_E7
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.14400000000000002,2020-11-02T14_08_41.372477+00_00_LBL_G7
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.073,2020-11-02T14_08_41.372477+00_00_LBL_A9
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.002,2020-11-02T14_08_41.372477+00_00_LBL_C9
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.011,2020-11-02T14_08_41.372477+00_00_LBL_E9
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.031,2020-11-02T14_08_41.372477+00_00_LBL_G9
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.015,2020-11-02T14_08_41.372477+00_00_LBL_A11
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.003,2020-11-02T14_08_41.372477+00_00_LBL_C11
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.07999999999999999,2020-11-02T14_08_41.372477+00_00_LBL_E11
Dimethylformamide__Lead_Diiodide__Methylammonium_iodide,1.4984459088048965,6.697 gram,1.5001813873153353,2.312 gram,10.150342717036818,7.62 milliliter,9.694577406590406,3,0.011,2020-11-02T14_08_41.372477+00_00_LBL_G11
