chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Morpholinium Iodide (M),prepare__Morpholinium Iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.023,2019-11-19T18_11_24.347682+00_00_LBL_A1
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.018999999999999996,2019-11-19T18_11_24.347682+00_00_LBL_C1
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.016,2019-11-19T18_11_24.347682+00_00_LBL_E1
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.11299999999999999,2019-11-19T18_11_24.347682+00_00_LBL_G1
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.031,2019-11-19T18_11_24.347682+00_00_LBL_A3
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.056999999999999995,2019-11-19T18_11_24.347682+00_00_LBL_C3
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.002,2019-11-19T18_11_24.347682+00_00_LBL_E3
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.07599999999999998,2019-11-19T18_11_24.347682+00_00_LBL_G3
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.001,2019-11-19T18_11_24.347682+00_00_LBL_A5
Dimethylformamide__Lead_Diiodide__Morpholinium_Iodide,2.206851476427509,5.86 gram,2.769369473707146,3.43 gram,6.726075031133888,3.0 milliliter,5.759889666569537,1,0.101,2019-11-19T18_11_24.347682+00_00_LBL_C5
