chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,"molarity__N,N-Dimethylethane-1,2-diammonium iodide (M)","prepare__N,N-Dimethylethane-1,2-diammonium iodide",molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.07999999999999999,2019-11-19T18_01_42.850106+00_00_LBL_A1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.001,2019-11-19T18_01_42.850106+00_00_LBL_C1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.06999999999999999,2019-11-19T18_01_42.850106+00_00_LBL_E1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.127,2019-11-19T18_01_42.850106+00_00_LBL_G1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.077,2019-11-19T18_01_42.850106+00_00_LBL_A3
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.052,2019-11-19T18_01_42.850106+00_00_LBL_C3
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.003,2019-11-19T18_01_42.850106+00_00_LBL_E3
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.178,2019-11-19T18_01_42.850106+00_00_LBL_G3
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.001,2019-11-19T18_01_42.850106+00_00_LBL_A5
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.001,2019-11-19T18_01_42.850106+00_00_LBL_C5
