chemsys,molarity__Morpholinium Iodide (M),prepare__Morpholinium Iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.014,2019-11-19T18_11_24.347682+00_00_LBL_A1
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.039,2019-11-19T18_11_24.347682+00_00_LBL_C1
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.004999999999999999,2019-11-19T18_11_24.347682+00_00_LBL_E1
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.092,2019-11-19T18_11_24.347682+00_00_LBL_G1
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.001,2019-11-19T18_11_24.347682+00_00_LBL_A3
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.009000000000000001,2019-11-19T18_11_24.347682+00_00_LBL_C3
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.006,2019-11-19T18_11_24.347682+00_00_LBL_E3
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.001,2019-11-19T18_11_24.347682+00_00_LBL_G3
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.012,2019-11-19T18_11_24.347682+00_00_LBL_A5
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.015,2019-11-19T18_11_24.347682+00_00_LBL_C5
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.034999999999999996,2019-11-19T18_11_24.347682+00_00_LBL_E5
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.009000000000000001,2019-11-19T18_11_24.347682+00_00_LBL_G5
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.177,2019-11-19T18_11_24.347682+00_00_LBL_A7
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.001,2019-11-19T18_11_24.347682+00_00_LBL_C7
Dimethylformamide__Morpholinium_Iodide,2.3133008269728657,2.36 gram,9.526685465849049,3.5 milliliter,4.744394949865648,2,0.008,2019-11-19T18_11_24.347682+00_00_LBL_E7
