chemsys,"molarity__N,N-Dimethylethane-1,2-diammonium iodide (M)","prepare__N,N-Dimethylethane-1,2-diammonium iodide",molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.088,2019-11-19T18_01_42.850106+00_00_LBL_A1
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.016,2019-11-19T18_01_42.850106+00_00_LBL_C1
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.006,2019-11-19T18_01_42.850106+00_00_LBL_E1
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.059,2019-11-19T18_01_42.850106+00_00_LBL_G1
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.016,2019-11-19T18_01_42.850106+00_00_LBL_A3
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.004,2019-11-19T18_01_42.850106+00_00_LBL_C3
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.004,2019-11-19T18_01_42.850106+00_00_LBL_E3
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.027,2019-11-19T18_01_42.850106+00_00_LBL_G3
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.008,2019-11-19T18_01_42.850106+00_00_LBL_A5
"Dimethylformamide__N,N-Dimethylethane-1,2-diammonium_iodide",1.9376482278454443,3.36 gram,8.965850890889714,3.5 milliliter,5.0411677556515215,2,0.214,2019-11-19T18_01_42.850106+00_00_LBL_C5
