chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Ethylammonium Iodide (M),prepare__Ethylammonium Iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.399,2019-05-30T20_58_22.535516+00_00_LBL_A1
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.479,2019-05-30T20_58_22.535516+00_00_LBL_C1
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.25,2019-05-30T20_58_22.535516+00_00_LBL_E1
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.222,2019-05-30T20_58_22.535516+00_00_LBL_G1
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.446,2019-05-30T20_58_22.535516+00_00_LBL_A3
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.328,2019-05-30T20_58_22.535516+00_00_LBL_C3
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.39399999999999996,2019-05-30T20_58_22.535516+00_00_LBL_E3
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.125,2019-05-30T20_58_22.535516+00_00_LBL_G3
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.259,2019-05-30T20_58_22.535516+00_00_LBL_A5
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.004999999999999999,2019-05-30T20_58_22.535516+00_00_LBL_C5
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.237,2019-05-30T20_58_22.535516+00_00_LBL_E5
