chemsys,molarity__Formic Acid (M),prepare__Formic Acid,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.094,2019-05-30T20_58_22.535516+00_00_LBL_A1
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.056,2019-05-30T20_58_22.535516+00_00_LBL_A1
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.11299999999999999,2019-05-30T20_58_22.535516+00_00_LBL_C1
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.032999999999999995,2019-05-30T20_58_22.535516+00_00_LBL_C1
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.11699999999999999,2019-05-30T20_58_22.535516+00_00_LBL_E1
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.004999999999999999,2019-05-30T20_58_22.535516+00_00_LBL_E1
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.203,2019-05-30T20_58_22.535516+00_00_LBL_G1
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.034999999999999996,2019-05-30T20_58_22.535516+00_00_LBL_G1
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.18999999999999997,2019-05-30T20_58_22.535516+00_00_LBL_A3
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.034999999999999996,2019-05-30T20_58_22.535516+00_00_LBL_A3
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.13199999999999998,2019-05-30T20_58_22.535516+00_00_LBL_C3
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.093,2019-05-30T20_58_22.535516+00_00_LBL_C3
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.107,2019-05-30T20_58_22.535516+00_00_LBL_E3
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.004,2019-05-30T20_58_22.535516+00_00_LBL_E3
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.118,2019-05-30T20_58_22.535516+00_00_LBL_G3
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.06,2019-05-30T20_58_22.535516+00_00_LBL_G3
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.019999999999999997,2019-05-30T20_58_22.535516+00_00_LBL_A5
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.224,2019-05-30T20_58_22.535516+00_00_LBL_A5
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.039,2019-05-30T20_58_22.535516+00_00_LBL_C5
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.172,2019-05-30T20_58_22.535516+00_00_LBL_C5
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.16799999999999998,2019-05-30T20_58_22.535516+00_00_LBL_E5
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.068,2019-05-30T20_58_22.535516+00_00_LBL_E5
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.036000000000000004,2019-05-30T20_58_22.535516+00_00_LBL_G5
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.087,2019-05-30T20_58_22.535516+00_00_LBL_G5
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.176,2019-05-30T20_58_22.535516+00_00_LBL_A7
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.018000000000000002,2019-05-30T20_58_22.535516+00_00_LBL_A7
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.051,2019-05-30T20_58_22.535516+00_00_LBL_C7
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.122,2019-05-30T20_58_22.535516+00_00_LBL_C7
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.041999999999999996,2019-05-30T20_58_22.535516+00_00_LBL_E7
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.020999999999999998,2019-05-30T20_58_22.535516+00_00_LBL_E7
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.077,2019-05-30T20_58_22.535516+00_00_LBL_G7
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.101,2019-05-30T20_58_22.535516+00_00_LBL_G7
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.19799999999999998,2019-05-30T20_58_22.535516+00_00_LBL_A9
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.041999999999999996,2019-05-30T20_58_22.535516+00_00_LBL_A9
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.23399999999999999,2019-05-30T20_58_22.535516+00_00_LBL_C9
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.009000000000000001,2019-05-30T20_58_22.535516+00_00_LBL_C9
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.074,2019-05-30T20_58_22.535516+00_00_LBL_E9
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.148,2019-05-30T20_58_22.535516+00_00_LBL_E9
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.19999999999999998,2019-05-30T20_58_22.535516+00_00_LBL_G9
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.034,2019-05-30T20_58_22.535516+00_00_LBL_G9
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.16999999999999998,2019-05-30T20_58_22.535516+00_00_LBL_A11
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.073,2019-05-30T20_58_22.535516+00_00_LBL_A11
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.145,2019-05-30T20_58_22.535516+00_00_LBL_C11
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.082,2019-05-30T20_58_22.535516+00_00_LBL_C11
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.086,2019-05-30T20_58_22.535516+00_00_LBL_E11
