chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,"molarity__N,N-Diethylpropane-1,3-diammonium iodide (M)","prepare__N,N-Diethylpropane-1,3-diammonium iodide",molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.034999999999999996,2019-10-30T19_19_05.368929+00_00_LBL_A1
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.041,2019-10-30T19_19_05.368929+00_00_LBL_C1
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.026,2019-10-30T19_19_05.368929+00_00_LBL_E1
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.011,2019-10-30T19_19_05.368929+00_00_LBL_G1
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.020999999999999998,2019-10-30T19_19_05.368929+00_00_LBL_A3
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.011,2019-10-30T19_19_05.368929+00_00_LBL_C3
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.041,2019-10-30T19_19_05.368929+00_00_LBL_E3
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.086,2019-10-30T19_19_05.368929+00_00_LBL_G3
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.058,2019-10-30T19_19_05.368929+00_00_LBL_A5
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.006,2019-10-30T19_19_05.368929+00_00_LBL_C5
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.12999999999999998,2019-10-30T19_19_05.368929+00_00_LBL_E5
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.06999999999999999,2019-10-30T19_19_05.368929+00_00_LBL_G5
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.153,2019-10-30T19_19_05.368929+00_00_LBL_A7
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.149,2019-10-30T19_19_05.368929+00_00_LBL_C7
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.049999999999999996,2019-10-30T19_19_05.368929+00_00_LBL_E7
"Gamma-Butyrolactone__Lead_Diiodide__N,N-Diethylpropane-1,3-diammonium_iodide",0.8978724169044676,1.532 gram,0.7145574416225097,1.021 gram,10.193645434773568,2.9 milliliter,3.7011253092887944,1,0.192,2019-10-30T19_19_05.368929+00_00_LBL_G7
