chemsys,molarity__Water (M),prepare__Water,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-04T15_33_31.566896+00_00_LBL_A1
Water,55.493895671476146,15.0 milliliter,15.0,7,0.044,2021-01-04T15_33_31.566896+00_00_LBL_C1
Water,55.493895671476146,15.0 milliliter,15.0,7,0.052,2021-01-04T15_33_31.566896+00_00_LBL_E1
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-04T15_33_31.566896+00_00_LBL_G1
Water,55.493895671476146,15.0 milliliter,15.0,7,0.037,2021-01-04T15_33_31.566896+00_00_LBL_A3
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-04T15_33_31.566896+00_00_LBL_C3
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-04T15_33_31.566896+00_00_LBL_E3
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-04T15_33_31.566896+00_00_LBL_G3
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-04T15_33_31.566896+00_00_LBL_A5
Water,55.493895671476146,15.0 milliliter,15.0,7,0.056,2021-01-04T15_33_31.566896+00_00_LBL_C5
Water,55.493895671476146,15.0 milliliter,15.0,7,0.063,2021-01-04T15_33_31.566896+00_00_LBL_E5
Water,55.493895671476146,15.0 milliliter,15.0,7,0.048,2021-01-04T15_33_31.566896+00_00_LBL_G5
Water,55.493895671476146,15.0 milliliter,15.0,7,0.037,2021-01-04T15_33_31.566896+00_00_LBL_A7
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-04T15_33_31.566896+00_00_LBL_C7
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-04T15_33_31.566896+00_00_LBL_E7
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-04T15_33_31.566896+00_00_LBL_G7
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-04T15_33_31.566896+00_00_LBL_A9
Water,55.493895671476146,15.0 milliliter,15.0,7,0.018999999999999996,2021-01-04T15_33_31.566896+00_00_LBL_C9
Water,55.493895671476146,15.0 milliliter,15.0,7,0.067,2021-01-04T15_33_31.566896+00_00_LBL_E9
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-04T15_33_31.566896+00_00_LBL_G9
Water,55.493895671476146,15.0 milliliter,15.0,7,0.037,2021-01-04T15_33_31.566896+00_00_LBL_A11
Water,55.493895671476146,15.0 milliliter,15.0,7,0.018999999999999996,2021-01-04T15_33_31.566896+00_00_LBL_C11
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-04T15_33_31.566896+00_00_LBL_E11
Water,55.493895671476146,15.0 milliliter,15.0,7,0.041,2021-01-04T15_33_31.566896+00_00_LBL_G11
Water,55.493895671476146,15.0 milliliter,15.0,7,0.037,2021-01-11T16_37_07.842037+00_00_LBL_A1
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-11T16_37_07.842037+00_00_LBL_C1
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-11T16_37_07.842037+00_00_LBL_G1
Water,55.493895671476146,15.0 milliliter,15.0,7,0.041,2021-01-11T16_37_07.842037+00_00_LBL_A3
Water,55.493895671476146,15.0 milliliter,15.0,7,0.063,2021-01-11T16_37_07.842037+00_00_LBL_C3
Water,55.493895671476146,15.0 milliliter,15.0,7,0.037,2021-01-11T16_37_07.842037+00_00_LBL_E3
Water,55.493895671476146,15.0 milliliter,15.0,7,0.044,2021-01-11T16_37_07.842037+00_00_LBL_G3
Water,55.493895671476146,15.0 milliliter,15.0,7,0.032999999999999995,2021-01-11T16_37_07.842037+00_00_LBL_A5
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-11T16_37_07.842037+00_00_LBL_C5
Water,55.493895671476146,15.0 milliliter,15.0,7,0.037,2021-01-11T16_37_07.842037+00_00_LBL_E5
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-11T16_37_07.842037+00_00_LBL_G5
Water,55.493895671476146,15.0 milliliter,15.0,7,0.011,2021-01-11T16_37_07.842037+00_00_LBL_A7
Water,55.493895671476146,15.0 milliliter,15.0,7,0.063,2021-01-11T16_37_07.842037+00_00_LBL_C7
Water,55.493895671476146,15.0 milliliter,15.0,7,0.048,2021-01-11T16_37_07.842037+00_00_LBL_E7
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-11T16_37_07.842037+00_00_LBL_A9
Water,55.493895671476146,15.0 milliliter,15.0,7,0.056,2021-01-11T16_37_07.842037+00_00_LBL_E9
Water,55.493895671476146,15.0 milliliter,15.0,7,0.063,2021-01-11T16_37_07.842037+00_00_LBL_G9
Water,55.493895671476146,15.0 milliliter,15.0,7,0.056,2021-01-11T16_37_07.842037+00_00_LBL_A11
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-11T16_37_07.842037+00_00_LBL_E11
Water,55.493895671476146,15.0 milliliter,15.0,7,0.015,2021-01-11T16_37_07.842037+00_00_LBL_G11
